Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
948	484	svchost.exe	0xfa8001c38580	13	322	0	False	2019-12-11 14:16:07.000000 UTC	N/A	Disabled
1856	484	wmpnetwk.exe	0xfa8002170630	16	451	0	False	2019-12-11 14:16:08.000000 UTC	N/A	Disabled
480	484	SearchIndexer.	0xfa8001d376f0	14	701	0	False	2019-12-11 14:16:09.000000 UTC	N/A	Disabled
296	484	taskhost.exe	0xfa8001eb47f0	8	151	1	False	2019-12-11 14:32:24.000000 UTC	N/A	Disabled
1988	852	dwm.exe	0xfa8001dfa910	5	72	1	False	2019-12-11 14:32:25.000000 UTC	N/A	Disabled
604	2016	explorer.exe	0xfa8002046960	33	927	1	False	2019-12-11 14:32:25.000000 UTC	N/A	Disabled
1844	604	VBoxTray.exe	0xfa80021c75d0	11	140	1	False	2019-12-11 14:32:35.000000 UTC	N/A	Disabled
2064	816	audiodg.exe	0xfa80021da060	6	131	0	False	2019-12-11 14:32:37.000000 UTC	N/A	Disabled
2368	484	svchost.exe	0xfa80022199e0	9	365	0	False	2019-12-11 14:32:51.000000 UTC	N/A	Disabled
1984	604	cmd.exe	0xfa8002222780	1	21	1	False	2019-12-11 14:34:54.000000 UTC	N/A	Disabled
2692	368	conhost.exe	0xfa8002227140	2	50	1	False	2019-12-11 14:34:54.000000 UTC	N/A	Disabled
2424	604	mspaint.exe	0xfa80022bab30	6	128	1	False	2019-12-11 14:35:14.000000 UTC	N/A	Disabled
2660	484	svchost.exe	0xfa8000eac770	6	100	0	False	2019-12-11 14:35:14.000000 UTC	N/A	Disabled
2760	2680	csrss.exe	0xfa8001e68060	7	172	2	False	2019-12-11 14:37:05.000000 UTC	N/A	Disabled
2808	2680	winlogon.exe	0xfa8000ecbb30	4	119	2	False	2019-12-11 14:37:05.000000 UTC	N/A	Disabled
2908	484	taskhost.exe	0xfa8000f3aab0	9	158	2	False	2019-12-11 14:37:13.000000 UTC	N/A	Disabled
3004	852	dwm.exe	0xfa8000f4db30	5	72	2	False	2019-12-11 14:37:14.000000 UTC	N/A	Disabled
2504	3000	explorer.exe	0xfa8000f4c670	34	825	2	False	2019-12-11 14:37:14.000000 UTC	N/A	Disabled
2304	2504	VBoxTray.exe	0xfa8000f9a4e0	14	144	2	False	2019-12-11 14:37:14.000000 UTC	N/A	Disabled
2524	480	SearchProtocol	0xfa8000fff630	7	226	2	False	2019-12-11 14:37:21.000000 UTC	N/A	Disabled
1720	480	SearchFilterHo	0xfa8000ecea60	5	90	0	False	2019-12-11 14:37:21.000000 UTC	N/A	Disabled
1512	2504	WinRAR.exe	0xfa8001010b30	6	207	2	False	2019-12-11 14:37:23.000000 UTC	N/A	Disabled
2868	480	SearchProtocol	0xfa8001020b30	8	279	0	False	2019-12-11 14:37:23.000000 UTC	N/A	Disabled
796	604	DumpIt.exe	0xfa8001048060	2	45	1	True	2019-12-11 14:37:54.000000 UTC	N/A	Disabled
2260	368	conhost.exe	0xfa800104a780	2	50	1	False	2019-12-11 14:37:54.000000 UTC	N/A	Disabled
