Volatility 3 Framework 2.27.0

Offset	Name
0x3e862f20	\Windows\ServiceProfiles\LocalService\AppData\Roaming\PeerNetworking\8447695ec9feca67deb251c3d402899d.sst
0x3e863940	\Windows\System32\winevt\Logs\Microsoft-Windows-Known Folders API Service.evtx
0x3e8652d0	\Windows\System32\Microsoft\Protect\S-1-5-18\User\411ac4c0-623b-4bbb-881d-1d479dac34fa
0x3e865a20	\Users\Alissa Simpson\Music\desktop.ini
0x3e8661b0	\$Directory
0x3e866590	\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\Crypto\RSA\S-1-5-19\7e22207fe9846926e18c29d3e675240e_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x3e8668b0	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5afe4de1b92fc382.customDestinations-ms
0x3e866f20	\Users\SmartNet\Links
0x3e8689a0	\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x3e86a0f0	\Endpoint
0x3e86b310	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.ci
0x3e86b5e0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wid
0x3e86d190	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.001
0x3e86d2e0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.ci
0x3e86d9a0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir
0x3e86f570	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir
0x3e870e00	\$Directory
0x3e871600	\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\db.mdb
0x3e871750	\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\db.mdb
0x3e872380	\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\edb.chk
0x3e872820	\Windows\System32\drt.dll
0x3e87e070	\Users\SmartNet\Downloads\DumpIt
0x3e87ea40	\Windows\Fonts\StaticCache.dat
0x3e8a06d0	\Endpoint
0x3e8a0b20	\Windows\System32\keyiso.dll
0x3e8a2790	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9
0x3e8a2f20	\Users\Alissa Simpson\Saved Games\desktop.ini
0x3e8a95c0	\Windows\System32\Microsoft\Protect\S-1-5-19\Preferred
0x3e8a9710	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x3e8aa070	\Users\Alissa Simpson\Videos\desktop.ini
0x3e8aa8a0	\Windows\winsxs\FileMaps\$$.cdf-ms
0x3e8aac40	\Users\SmartNet\AppData\Local\Microsoft\Windows\1033\StructuredQuerySchema.bin
0x3e8abf20	\Users\Alissa Simpson\Searches\desktop.ini
0x3e8ac370	\ProgramData\Microsoft\Crypto\Keys\075b3649dfcfbf4419375e74424ddab2_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x3e8ad2e0	\ProgramData\Microsoft\IlsCache\ilrcache.xml
0x3e8af350	\Windows\System32\wscui.cpl
0x3e8b09c0	\Endpoint
0x3e8b12d0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Mahjong.lnk
0x3e8b1420	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Minesweeper.lnk
0x3e8b26b0	\$Directory
0x3e8b2a20	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Private Character Editor.lnk
0x3e8b2c50	\Windows\System32\C_950.NLS
0x3e8b2ea0	\Windows\debug\WIA\wiatrace.log
0x3e8b3280	\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x3e8b57c0	\Windows\System32
0x3e8b63e0	\$Directory
0x3e8b97d0	\Windows\System32\wiatrace.dll
0x3ea00bb0	\Windows\System32\PortableDeviceApi.dll
0x3ea01510	\Endpoint
0x3ea01cc0	\Endpoint
0x3ea02320	\Windows\inf\netsstpt.PNF
0x3ea02770	\Windows\System32\wbem\MOF
0x3ea02b20	\Program Files (x86)\desktop.ini
0x3ea02dd0	\Windows\System32\drivers\ntfs.sys
0x3ea02f20	\Windows\System32\wbem\WmiDcPrv.dll
0x3ea03700	\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Inventory.evtx
0x3ea03a70	\Windows\System32\LogFiles\Scm\ac4e5acf-89f7-4220-ba21-81ee183975e2
0x3ea04050	\Windows\System32\drivers\cng.sys
0x3ea04350	\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Problem-Steps-Recorder.evtx
0x3ea04740	\Windows\System32\Tasks\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem
0x3ea04cd0	\Windows\System32\stdole2.tlb
0x3ea04e20	\Windows\System32\Tasks\Microsoft\Windows\PerfTrack\BackgroundConfigSurveyor
0x3ea054d0	\Windows\System32\LogFiles\Scm\ac668097-4d6b-4093-ac14-014c09dbf820
0x3ea06640	\Endpoint
0x3ea06db0	\Endpoint
0x3ea07520	\Windows\System32\msxml6.dll
0x3ea08200	\Windows\System32\ntdsapi.dll
0x3ea089e0	\Windows\System32\sscore.dll
0x3ea08f20	\Windows\System32\drivers\VBoxGuest.sys
0x3ea095f0	\Windows\System32\wpdbusenum.dll
0x3ea09dc0	\Windows\System32\LogFiles\Scm\b0cbab43-44fc-469b-a4ce-87426761fdce
0x3ea0a070	\Windows\System32\netmsg.dll
0x3ea0a3a0	\Windows\System32\Tasks\Microsoft\Windows\Diagnosis\Scheduled
0x3ea0ab30	\Windows\System32\wbem\WinMgmtR.dll
0x3ea0b6f0	\Endpoint
0x3ea0bea0	\Endpoint
0x3ea0da70	\Windows\System32\drivers\ndis.sys
0x3ea0dc90	\Endpoint
0x3ea0e450	\Winsock2\CatalogChangeListener-1e4-0
0x3ea0ed00	\Windows\System32\LogFiles\Scm\c7cf5c83-942c-4add-9ec3-24fb232082bd
0x3ea0ef20	\Windows\System32\Tasks\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask
0x3ea0f480	\Windows\System32\resutils.dll
0x3ea0fbc0	\Windows\System32\Tasks\Microsoft\Windows\Registry\RegIdleBackup
0x3ea10570	\Endpoint
0x3ea10ce0	\Endpoint
0x3ea111c0	\Windows\System32\LogFiles\Scm\ca4b8ff2-a4d2-4d88-a52e-3a5bdaf7f56e
0x3ea115c0	\Windows\System32\LogFiles\Scm\cb3d64bf-c0c9-45ff-bfb0-ff1a8f680186
0x3ea11d10	\srvsvc
0x3ea124e0	\Windows\System32\wbem\wbemprox.dll
0x3ea12890	\Windows\System32\clusapi.dll
0x3ea14c90	\Windows\System32\diagperf.dll
0x3ea153f0	\Windows\System32\en-US\lsm.exe.mui
0x3ea15960	\Windows\System32\drivers\compbatt.sys
0x3ea161a0	\Windows\System32\drivers\volmgr.sys
0x3ea162f0	\Windows\System32\browser.dll
0x3ea16500	\Windows\System32\ssdpapi.dll
0x3ea16c70	\Windows\System32\srvsvc.dll
0x3ea17440	\Windows\System32\drivers\volmgrx.sys
0x3ea19340	\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\CorruptionDetector
0x3ea1a420	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories
0x3ea1a7b0	\Windows\System32\drivers\tcpip.sys
0x3ea1b400	\Windows\System32\en-US\KernelBase.dll.mui
0x3ea1bc10	\Windows\System32\drivers\FWPKCLNT.SYS
0x3ea1bd60	\Windows\System32\drivers\spldr.sys
0x3ea1c170	\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\SystemCertificates\My
0x3ea1daa0	\Windows\System32\tdh.dll
0x3ea22210	\Windows\System32\en-US\tquery.dll.mui
0x3ea244e0	\Windows\System32\LogFiles\Scm\cee64558-e1a7-4d9d-80a7-2001912be5b5
0x3ea25740	\Windows\System32\Tasks\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
0x3ea26c70	\Windows\System32\drivers\vmstorfl.sys
0x3ea275c0	\Windows\System32\drivers\volsnap.sys
0x3ea287e0	\
0x3ea2a320	\Windows\System32\catroot2\edb.log
0x3ea2a580	\Windows\System32\drivers\rdyboost.sys
0x3ea2a8f0	\Windows\System32\Tasks\Microsoft\Windows\Maintenance\WinSAT
0x3ea2acd0	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu
0x3ea2af20	\Windows\System32\Tasks\Microsoft\Windows\Media Center\PBDADiscoveryW2
0x3ea2c500	\Windows\System32\LogFiles\Scm\da41de71-8431-42fb-9db0-eb64a961dead
0x3ea2c7a0	\Windows\System32\wbem\wbemcore.dll
0x3ea2ca40	\Windows\System32\LogFiles\Scm\cfce87c8-ef22-4de5-a680-7b44dffce8f9
0x3ea2f5b0	\Endpoint
0x3ea2f6e0	\Windows\System32\drivers\mup.sys
0x3ea34df0	\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx
0x3ea34f20	\
0x3ea35f20	\Windows\System32\drivers\hwpolicy.sys
0x3ea36d10	\Windows\System32\LogFiles\Scm\dd9f510c-95f4-499a-90c8-bac5bc372ff4
0x3ea37350	\Windows\System32\drivers\fvevol.sys
0x3ea38dd0	\Windows\System32\wbem\esscli.dll
0x3ea39500	\Endpoint
0x3ea399d0	\Windows\System32\drivers\disk.sys
0x3ea3c380	\Windows\System32\drivers\Classpnp.sys
0x3ea3ccb0	\Endpoint
0x3ea3ea20	\Windows\System32\catroot2\edb.chk
0x3ea3f2c0	\Windows\System32\Tasks\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange
0x3ea41dd0	\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{608A0B1C-8E90-4C9C-9DD8-EBA5B9568D64}
0x3ea427e0	\Windows\System32\Tasks\Microsoft\Windows\Bluetooth\UninstallDeviceTask
0x3ea42b50	\Windows\System32\LogFiles\Scm\e22a8667-f75b-4ba9-ba46-067ed4429de8
0x3ea46070	\Windows\System32\d3d10_1.dll
0x3ea4a070	\Windows\System32\wbem\wbemsvc.dll
0x3ea4a580	\Windows\System32\netcfgx.dll
0x3ea4ab80	\Windows\System32\Tasks\Microsoft\Windows\RAC\RacTask
0x3ea4c670	\Windows\System32\LogFiles\Scm\e3163c33-301d-4730-a266-5518c5ed3967
0x3ea4e650	\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\DecompressionFailureDetector
0x3ea4ed40	\Windows\System32\Tasks\Microsoft\Windows\Media Center\ObjectStoreRecoveryTask
0x3ea4ff20	\Windows\System32\wbem\WMIADAP.exe
0x3ea502d0	\Windows\System32\LogFiles\Scm\fa21bc6b-8582-47aa-9e4b-a392116d0cdc
0x3ea50f20	\Windows\System32\LogFiles\Scm\fa2bc0a6-8d4b-458a-85c8-2b8c72487513
0x3ea515f0	\Windows\System32\umb.dll
0x3ea51a20	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb
0x3ea55d50	\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Media Player.lnk
0x3ea565c0	\Windows\System32\drivers\etc\hosts
0x3ea56710	\Windows\System32\Tasks\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask
0x3ea57f20	\Windows\System32\wdi.dll
0x3ea662d0	\Windows\System32\rasadhlp.dll
0x3ea66f20	\Windows\System32\perftrack.dll
0x3ea67d10	\Windows\System32\LogFiles\Scm\fdd56c73-f0d5-41b6-b767-6effd7966428
0x3ea6e270	\Windows\System32\Apphlpdm.dll
0x3ea6f760	\Windows\System32\nci.dll
0x3ea70070	\Windows\System32\pnpts.dll
0x3ea70a60	\Windows\System32\wer.dll
0x3ea728d0	\$Directory
0x3ea72f20	\Windows\System32\wdiasqmmodule.dll
0x3ea73330	\Windows\System32\wbem\repdrvfs.dll
0x3ea75d00	\Windows\System32\PortableDeviceConnectApi.dll
0x3ea7b830	\Device\HarddiskVolume2\Users\Alissa Simpson\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM
0x3ea7b980	\Windows\ServiceProfiles\NetworkService\AppData\Roaming\Microsoft\SoftwareProtectionPlatform\Cache\cache.dat
0x3ea7bda0	\ProgramData\Microsoft\Windows Defender\Definition Updates\{D2B0B133-42ED-44D3-809A-46EBB62BA863}\mpengine.dll
0x3ea7c230	\Users\SmartNet\NTUSER.DAT
0x3ea7ea00	\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.3.gthr
0x3ea7ef20	\$Directory
0x3ea7f350	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb
0x3ea7f4a0	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb
0x3ea7f800	\$Directory
0x3ea813a0	\Windows\System32\winevt\Logs\Microsoft-Windows-NCSI%4Operational.evtx
0x3ea826f0	\Program Files\Windows Media Player\en-US\wmpnetwk.exe.mui
0x3ea87f20	\Windows\System32\ncobjapi.dll
0x3ea8a070	\Windows\inf\netnb.PNF
0x3ea8c200	\Windows\System32\winevt\Logs\Microsoft-Windows-Resource-Exhaustion-Detector%4Operational.evtx
0x3ea90070	\Windows\System32\taskhost.exe
0x3ea935c0	\Windows\inf\rspndr.PNF
0x3ea94640	\Windows\System32\winspool.drv
0x3ea97960	\Windows\System32\en-US\KernelBase.dll.mui
0x3ea9eb20	\Windows\System32\dimsjob.dll
0x3ea9ec70	\Windows\System32\pautoenr.dll
0x3eaa1290	\ProgramData\Microsoft\Windows Defender\Definition Updates\{D2B0B133-42ED-44D3-809A-46EBB62BA863}\mpasdlta.vdm
0x3eaa14a0	\ProgramData\Microsoft\Windows Defender\Definition Updates\{D2B0B133-42ED-44D3-809A-46EBB62BA863}\mpasbase.vdm
0x3eaa2d60	\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x3eaa6280	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.000
0x3eaa6460	\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.2.regtrans-ms
0x3eaa6700	\Windows\Media\Windows Navigation Start.wav
0x3eaa6a20	\Windows\System32\en-US\SampleRes.dll.mui
0x3eaab270	\Windows\System32\certcli.dll
0x3eaacf20	\Windows\System32\CertEnroll.dll
0x3eaad590	\Endpoint
0x3eaae6f0	\Windows\System32\wfp\wfpdiag.etl
0x3eab42d0	\Windows\System32\wbem\Repository\MAPPING3.MAP
0x3eab4420	\Windows\System32\wbem\Repository\OBJECTS.DATA
0x3eab4dd0	\Windows\System32\wbem\Repository\MAPPING2.MAP
0x3eab4f20	\Windows\System32\en-US\FirewallAPI.dll.mui
0x3eab5800	\browser
0x3eab5950	\browser
0x3eab5b80	\$Directory
0x3eab6c40	\Windows\System32
0x3eac2b30	\Users\SmartNet\Documents\desktop.ini
0x3eac38f0	\Windows\WindowsUpdate.log
0x3eac4d00	\Windows\System32\wmploc.DLL
0x3eac51a0	\Windows\System32\wbem\wbemess.dll
0x3eac5910	\Windows\System32\wbem\WmiPrvSD.dll
0x3eae45d0	\Windows\System32\udhisapi.dll
0x3eae4cd0	\$Directory
0x3eae4e20	\Windows\System32\wups2.dll
0x3eaea4b0	\$Directory
0x3eaeb570	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu\desktop.ini
0x3eaebaf0	\Users\SmartNet\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows Media Player.lnk
0x3eaec760	\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-Scheduled%4Operational.evtx
0x3eaecad0	\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini
0x3eaed270	\$Directory
0x3eaed990	\$Directory
0x3eaeea70	\Windows\System32\C_1256.NLS
0x3eaef350	\Users\SmartNet\AppData\Local\Microsoft\Windows\History\History.IE5\index.dat
0x3eaef740	\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0x3eaf0740	\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x3eaf0b30	\Windows\System32\SensApi.dll
0x3eaf0f20	\Windows\System32\aelupsvc.dll
0x3eaf1410	\Windows\System32\fdSSDP.dll
0x3eaf1740	\Windows\System32\FXSSVC.exe
0x3eaf2740	\$Directory
0x3eaf5570	\$Directory
0x3eaf5740	\$Directory
0x3eaf6070	\Windows\System32\mspatcha.dll
0x3eaf7a20	\$Directory
0x3eaf85b0	\Windows\System32\wuapp.exe
0x3eaf87c0	\Program Files\desktop.ini
0x3eb0a3a0	\Users\SmartNet\Links\desktop.ini
0x3eb0b4d0	\Windows\System32\perfc009.dat
0x3eb0b770	\Program Files\Windows Media Player\Network Sharing\wmpnss_color48.png
0x3eb0ba00	\$Directory
0x3eb0f050	\Windows\System32\drivers\spsys.sys
0x3eb12730	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\SETTINGS.DIA
0x3eb12f20	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.001
0x3eb21070	\$Directory
0x3eb21990	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000
0x3eb21f20	\$Directory
0x3eb223f0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.wid
0x3eb22540	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.dir
0x3eb22820	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.ci
0x3eb22970	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.wid
0x3eb22dd0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\CiAD0001.000
0x3eb22f20	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.002
0x3eb23070	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.ci
0x3eb23430	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.wid
0x3eb23580	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.dir
0x3eb238e0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.ci
0x3eb23bc0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.wid
0x3eb23d10	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.dir
0x3eb452a0	\$Directory
0x3eb4b070	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.wsb
0x3eb4b490	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\CiAD0001.002
0x3eb4bb00	\MsFteWds
0x3eb4bc50	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.dir
0x3eb4bda0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.ci
0x3eb4c900	\Windows\System32\en-US\odbcint.dll.mui
0x3eb4d7e0	\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{57420434-16A7-4289-8730-761916EE1B04}
0x3eb50350	\Windows\System32\wuaueng.dll
0x3eb50b70	\Windows\System32\fdWSD.dll
0x3eb51070	\$Directory
0x3eb51290	\Windows\System32\desktop.ini
0x3eb516f0	\$Directory
0x3eb51d10	\Windows\System32\winevt\Logs\Microsoft-Windows-Winlogon%4Operational.evtx
0x3eb523e0	\Users\Public\Music
0x3eb53440	\$Directory
0x3eb53f20	\Windows\assembly\Desktop.ini
0x3eb54070	\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{1A13C905-E19B-4091-898E-2633E9496759}
0x3eb547c0	\Windows\SoftwareDistribution\DataStore\DataStore.edb
0x3eb55320	\Users\SmartNet\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1
0x3eb55d10	\Windows\SoftwareDistribution\DataStore\Logs\edb.chk
0x3eb56780	\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{209463B0-77C3-4BB9-B08D-6EFA832596E7}
0x3eb57070	\$Directory
0x3eb57b00	\Windows\System32\en-US\KernelBase.dll.mui
0x3eb586b0	\$Directory
0x3eb58f20	\Endpoint
0x3eb5a100	\Users\Public\Music
0x3eb5aaf0	\$Directory
0x3eb5ac40	\Windows\SoftwareDistribution\DataStore\Logs\edb.log
0x3eb5b200	\Windows\System32
